train,test
1.6056828,1.6030161
1.5878918,1.5819403
1.4708209,1.4304776
1.3544521,1.3586177
1.3139973,1.3858869
1.2615635,1.2754896
1.189615,1.1968373
1.143725,1.1913333
1.0980855,1.1446444
1.1055992,1.2589967
1.0794474,1.1350888
1.0741279,1.1394305
1.0199945,1.1300962
1.0268095,1.1937351
0.9924355,1.062194
0.9722889,1.0235339
0.9515753,1.0708742
0.89507884,1.1627574
0.87646383,1.0174598
0.87704223,1.054926
0.867854,1.1702746
0.8509334,0.9773303
0.8232066,0.9666579
0.81590146,0.9829644
0.7980034,1.1572971
0.79255897,1.0574765
0.76011515,0.9982639
0.72963995,0.97879595
0.72585976,1.0742016
0.7580417,1.0317281
0.70847327,0.9605973
0.6918872,0.9931021
0.71016496,1.071188
0.7542832,1.0010009
0.69408447,0.9700851
0.67182714,0.9112336
0.6666718,0.972831
0.68479073,1.0013446
0.66259986,0.914806
0.6391923,0.9359383
0.6490814,0.9740897
0.6279733,0.89221245
0.6180433,1.008239
0.62561893,0.91843754
0.60777295,0.88840795
0.6211292,0.905592
0.61066645,0.9399945
0.6102554,0.9229511
0.6020738,0.9231654
0.61838955,0.95868564
0.58336455,0.93607616
0.5726684,0.9337803
0.59474957,0.87894666
0.57785285,0.9283459
0.56984645,0.90819454
0.5652452,0.95478636
0.5595512,0.94041795
0.5482109,0.9111471
0.57165235,1.0276632
0.57266265,0.9063744
0.58164614,0.8940917
0.5545093,0.90789753
0.53735113,0.9154104
0.5238105,0.9095632
0.5232573,0.8705892
0.5184252,0.8559884
0.5258424,0.86010814
0.51698023,0.86482346
0.5173029,0.8926374
0.51189446,0.85738385
0.50488937,0.88437283
0.514942,1.1216502
0.5512446,0.9113398
0.5185169,0.8477509
0.5004422,0.9240183
0.50799626,0.9427392
0.5384587,0.8907471
0.50794023,0.890822
0.50261414,0.8562321
0.49511808,0.84304017
0.49855283,0.8728969
0.48895276,0.8645402
0.48984995,0.8930274
0.49769503,0.85324657
0.4877411,0.89942104
0.48073873,0.9001535
0.48551056,0.87643695
0.48305058,0.88748956
0.47999993,0.8603515
0.48556402,0.9333448
0.4829216,0.88068306
0.4814968,0.8990129
0.4778978,0.88007295
0.47903705,0.8951158
0.4810365,0.9191469
0.4794435,0.9455344
0.48953837,0.876176
0.47997522,0.89133865
0.48431447,0.93081105
0.48375317,0.93410975
0.4719851,0.9025733
0.4646559,0.87216663
0.4632936,0.8951359
0.46284464,0.92312104
0.47220045,0.91298074
0.46364197,0.9383977
0.4647538,0.87127537
0.4609857,0.8781108
0.454614,0.89324105
0.4548005,0.90546507
0.4558079,0.908782
0.46135628,0.87516505
0.46016735,0.89179295
0.46042848,0.8990535
0.45510745,0.89172393
0.4525668,0.92969024
0.4581318,0.8808626
0.45339215,0.90711015
0.4638689,0.88874024
0.46930596,0.9061069
0.4517151,0.8739954
0.44971082,0.89673585
0.45193025,0.89289725
0.47176477,0.8852998
0.44917175,0.8852839
0.45360726,0.9018821
0.44488224,0.888841
0.4485846,0.9058771
0.44708866,0.877276
0.44370788,0.89774793
0.44638997,0.8873201
0.44530538,0.8925065
0.45369136,0.8962262
0.45060968,0.87871164
0.4409058,0.8842625
0.44468254,0.8950342
0.44825894,0.8997848
0.44656047,0.8998234
0.44085118,0.8854739
0.44007927,0.8787857
0.43638864,0.8991105
0.44226423,0.8870385
0.43630293,0.89574146
0.43980962,0.8815928
0.44234964,0.8737021
0.43641993,0.8900648
0.45451674,0.8838533
0.44471338,0.9018094
0.43991855,0.9007789
0.43557787,0.8833621
0.43234456,0.89120203
0.4326413,0.9065028
0.43297344,0.88558805
0.43626106,0.8910727
0.433412,0.8825328
0.43079782,0.88161266
0.4309853,0.88533825
0.43101603,0.8944105
0.43677288,0.9414782
0.4384556,0.8874645
0.43123633,0.9001116
0.42906073,0.88910264
0.42773175,0.8902344
0.4294865,0.9018781
0.43124667,0.8761337
0.42956662,0.88939565
0.43113244,0.8923758
0.42939657,0.89759266
0.4299355,0.90180457
0.43298396,0.8909181
0.42883512,0.8837213
0.42844528,0.87749994
0.42772114,0.8850158
0.43046287,0.92598665
0.43444768,0.90407306
0.42836297,0.8874616
0.42920992,0.90174186
0.42575055,0.8922758
0.4266478,0.8924213
0.42464364,0.89428926
0.4268252,0.8980998
0.42633903,0.8954395
0.42387274,0.8853843
0.42486134,0.9113082
0.42428017,0.88238895
0.42478254,0.89136595
0.42527357,0.89848506
0.42489064,0.8940732
0.42221045,0.87023425
0.42169374,0.9012353
0.425046,0.8875564
0.42332438,0.88931394
0.4218788,0.88982415
0.42307833,0.90261143
0.42159492,0.89884543
0.4223237,0.88741535
0.42153668,0.92570525
0.42798942,0.896747
0.42559844,0.91077745
0.42643645,0.8841576
