train,test
1.0976613,1.0924351
1.0935277,1.0987062
1.091942,1.0932473
1.0889803,1.0904574
1.0883318,1.0867555
1.0839841,1.0813001
1.0811436,1.0817425
1.0813944,1.0866485
1.0744653,1.0760972
1.0769165,1.0888431
1.0700521,1.0777317
1.0691383,1.0849708
1.066332,1.0844883
1.0633059,1.0677093
1.0591483,1.0750966
1.0587202,1.0713391
1.0545061,1.0749032
1.0539548,1.066345
1.0490056,1.064611
1.0455805,1.0642383
1.0413411,1.0584702
1.0363364,1.0561353
1.0403715,1.0374038
1.0356627,1.06042
1.02939,1.0490447
1.0260412,1.045624
1.0249643,1.0569642
1.0249083,1.048322
1.0223851,1.0343138
1.0170679,1.0459042
1.0117621,1.0568557
1.0130336,1.0435548
1.0092403,1.0315467
1.0064015,1.0458331
0.9996439,1.0450287
1.0024071,1.0373945
0.99501956,1.0261924
0.9910639,1.0297842
0.98670465,1.0352483
0.9829265,1.0155215
0.9839653,1.0277846
0.9780866,1.0209732
0.9769891,1.0276216
0.97252023,1.0225718
0.9741627,1.0068414
0.96678925,1.0183624
0.96411896,1.0291637
0.96199054,1.0227317
0.96138227,1.0253773
0.95515174,1.0221678
0.9572052,1.0374818
0.9546188,1.0030537
0.94850934,1.0361753
0.9444497,1.0039431
0.9412382,1.0175568
0.9389585,1.0145566
0.9364772,0.98215854
0.9372986,0.9816665
0.93741006,0.99842703
0.93492144,0.9719934
0.92916775,0.99718523
0.9254774,0.9993779
0.924327,0.998313
0.9188073,0.97102344
0.9216695,0.98847765
0.9215959,1.0119455
0.9184635,0.9743298
0.9152538,0.98582333
0.916253,1.0021236
0.9155742,0.97200125
0.9134695,1.016398
0.90910023,1.0155437
0.91181517,0.9998045
0.90406036,0.99144137
0.9004896,0.965605
0.90530807,0.9914556
0.9073183,0.98066604
0.9014121,0.9926523
0.89672697,1.0091345
0.8972825,0.9342127
0.89431393,0.99605775
0.89554083,1.0002402
0.89288855,0.9802492
0.8914819,0.9814236
0.890649,0.9734658
0.8881013,0.9879775
0.88961184,1.017864
0.8860771,0.9566095
0.8849087,1.0152667
0.88476956,0.9536803
0.883671,0.98962206
0.8846111,1.000743
0.8854869,0.9521731
0.87943363,0.9494518
0.8767408,0.9783236
0.8781417,0.96921754
0.87661725,0.95291996
0.87427104,0.9268562
0.8738152,0.98878944
0.87558633,0.9616332
0.8688496,0.91175485
0.8706215,0.9344473
0.8724208,1.0135831
0.87093765,0.9348552
0.87417,0.931648
0.86985743,0.9889852
0.86629474,0.93350095
0.86516416,1.0173874
0.86899966,0.9269206
0.87086886,0.9351755
0.86806905,0.9905686
0.8682507,0.9799545
0.8617651,0.9648801
0.8656087,0.97459066
0.8645603,0.98898655
0.86130273,0.9132267
0.86168754,0.97402644
0.86320275,1.021241
0.8648761,0.97860587
0.86196977,0.94442916
0.85968256,0.9749543
0.857454,0.93944573
0.86136854,0.9619129
0.86015224,0.9771582
0.8558283,0.981184
0.8560235,0.942634
0.8571693,0.94417775
0.8581139,0.99536717
0.8550669,0.9311434
0.85217744,1.0255208
0.85409147,0.93048847
0.84928524,0.9991152
0.8565463,0.99375594
0.84820634,0.93265533
0.854558,0.956465
0.8573705,0.97998023
0.84854174,0.905126
0.848337,0.9823854
0.8537059,0.9171627
0.8523102,0.9738114
0.84916294,0.95787644
0.84986246,0.9840273
0.8487031,0.9318418
0.8491332,0.9810845
0.847109,0.9817461
0.8489193,0.9446714
0.84799194,0.9685482
0.8501856,0.970513
0.8458859,0.93958217
0.84357643,0.9732318
0.84785354,0.98262453
0.84539926,0.9708161
0.84516364,0.9340806
0.8434618,0.9632394
0.84138966,0.98421085
0.8425185,0.967886
0.8473012,0.97961986
0.8439913,0.9235233
0.8454033,0.98274136
0.844258,0.96765465
0.83913183,0.99125654
0.8433199,0.91276705
0.8408945,0.92258203
0.8401636,0.91211283
0.838686,0.910815
0.84644175,0.9284748
0.8443903,1.0412002
0.8432454,1.0230299
0.8409685,0.9451673
0.84011096,0.95420635
0.8421413,0.9826627
0.84066886,0.9461502
0.8358487,0.9788671
0.84215754,0.9161701
0.84122056,0.93945247
0.83645046,0.99141675
0.84303916,0.9610319
0.8374094,0.9626359
0.8392266,0.9474828
0.8382336,0.93584704
0.83758056,0.9765152
0.8330987,0.97891355
0.83885384,0.9482385
0.8388354,0.95513463
0.83551407,0.94425493
0.8408232,0.92924213
0.83683825,0.9458353
0.83841884,0.9634014
0.8383562,0.9994721
0.8366629,0.9887287
0.83769876,0.9809101
0.8376473,0.91750664
0.8398901,0.97923124
0.83613396,0.94866526
0.8372203,0.92029387
0.83696306,0.9541272
0.8344744,0.90876913
0.83444464,0.96174884
0.8329975,0.9834964
0.83347404,0.9789965
