train,test
1.1498044,1.1024902
1.1290505,1.1058061
1.1282161,1.1022898
1.1164436,1.1023906
1.1183268,1.0999075
1.1227846,1.0979277
1.1098175,1.0949502
1.1114873,1.0930666
1.108204,1.0807412
1.0649252,0.9812673
0.92932326,0.7952924
0.7967888,0.70875597
0.737434,0.6559327
0.6922401,0.6458894
0.68578595,0.6435527
0.6798264,0.6419878
0.67496675,0.6630259
0.6808636,0.6463498
0.66975486,0.6357012
0.6638031,0.63511354
0.6541543,0.63306534
0.65106505,0.6279448
0.65051657,0.6283251
0.63929796,0.6150094
0.64190567,0.59716415
0.6250433,0.57550204
0.59756655,0.5938123
0.603148,0.500629
0.5580512,0.4854687
0.59017235,0.45232105
0.5014997,0.45424205
0.45971647,0.44846764
0.4640296,0.5346253
0.47291884,0.4137047
0.42111322,0.48088104
0.40547574,0.5268075
0.43052247,0.39754972
0.37735474,0.4244317
0.37327087,0.41059208
0.38587075,0.45145243
0.3654856,0.36049667
0.35956788,0.38940668
0.361106,0.3783831
0.35170478,0.36921078
0.3479719,0.36541465
0.34754252,0.4236297
0.35270646,0.38125914
0.3491786,0.3376708
0.35803327,0.3544057
0.35438195,0.42759433
0.36452195,0.37407002
0.37138355,0.35555327
0.3545231,0.35032445
0.3365607,0.40064698
0.32949004,0.43417254
0.32985622,0.39352277
0.33035874,0.39292735
0.32681853,0.41623312
0.3311806,0.4225475
0.3277699,0.46804756
0.3292821,0.43112898
0.32603776,0.3907838
0.321292,0.4002723
0.32097512,0.3496482
0.3235111,0.36153919
0.3184698,0.4810946
0.323529,0.40138054
0.32616797,0.39082327
0.3214821,0.47730193
0.32199576,0.3993526
0.3223083,0.42133927
0.32167795,0.3683847
0.31915617,0.37199172
0.31953484,0.3862879
0.3212573,0.34954372
0.32209107,0.380334
0.32220525,0.39138862
0.3197705,0.38739988
0.32179305,0.36312148
0.3153445,0.38167676
0.31546474,0.34583622
0.31660318,0.39848188
0.3152728,0.34295154
0.31639776,0.39468485
0.31567457,0.3439203
0.31804883,0.3616198
0.31695205,0.3418229
0.3179302,0.42070264
0.31885964,0.35246107
0.31633657,0.44701976
0.31820807,0.35207954
0.31797263,0.43540543
0.31582585,0.33522704
0.31434628,0.40018106
0.31382245,0.39651456
0.31730607,0.3731267
0.31672567,0.432828
0.31817222,0.40615916
0.3150024,0.37697595
0.31265417,0.33856076
0.3145818,0.39018968
0.31403157,0.43419328
0.315452,0.34966296
0.3157154,0.41357523
0.31713587,0.33480006
0.31576285,0.4038681
0.31651938,0.39015827
0.31390372,0.36670297
0.31481817,0.3691526
0.31336755,0.40002975
0.31550694,0.36854577
0.31281832,0.33619604
0.31636807,0.45067707
0.31333,0.37668675
0.31297845,0.39897794
0.31229684,0.35544768
0.312654,0.38051257
0.31265795,0.37233815
0.31336835,0.37208834
0.31174433,0.38705373
0.3127652,0.3786532
0.31265536,0.34050304
0.31342676,0.4167212
0.31329638,0.36479527
0.31117544,0.36516494
0.31441665,0.39789695
0.31132105,0.3509763
0.31666976,0.3607134
0.31998253,0.485787
0.32500383,0.3918299
0.31765482,0.36833906
0.3119889,0.34444392
0.31206712,0.36397368
0.30941924,0.36002207
0.31211925,0.35865816
0.31228498,0.38100106
0.31081188,0.37412888
0.31011668,0.36800438
0.309529,0.36022887
0.3111156,0.34900156
0.31109473,0.37790856
0.31227326,0.36012894
0.31056118,0.37088427
0.3107534,0.37034178
0.31048116,0.36224788
0.30908847,0.38320667
0.31132412,0.38773718
0.30959988,0.36662778
0.31152573,0.37870854
0.31028035,0.36701232
0.30986914,0.35759693
0.31053883,0.36224177
0.31112704,0.41264027
0.3113343,0.39041695
0.30970964,0.36125535
0.30982763,0.36863536
0.3119168,0.34833986
0.31217715,0.3914234
0.3099083,0.35952824
0.3098233,0.36075422
0.3097489,0.34880483
0.30878916,0.3717386
0.3095774,0.38697925
0.31078124,0.3836978
0.3107193,0.3439878
0.31179821,0.43215132
0.31126538,0.35256106
0.31150118,0.36275855
0.30955607,0.3845877
0.30899638,0.36703825
0.30990422,0.3702795
0.31111133,0.36885586
0.30895257,0.35967454
0.31126246,0.37956935
0.3097583,0.37348166
0.31067982,0.35486272
0.3110109,0.39707002
0.3098842,0.38745952
0.30850095,0.38881564
0.31035113,0.3599948
0.30897054,0.3562737
0.3118685,0.39221746
0.30932984,0.3671039
0.3101966,0.37309733
0.30898687,0.37425607
0.30846947,0.37372416
0.30831155,0.35524362
0.30844575,0.3689941
0.30945262,0.3638272
0.3090435,0.3765482
0.3099632,0.3699728
0.3093156,0.4117543
0.30941325,0.3866776
0.31051734,0.4095207
0.30877104,0.4136541
0.3097666,0.3959969
0.3095453,0.40440384
0.31074524,0.37475604
0.30964342,0.37788814
0.30995253,0.37571695
